year,institute_name,academic_program_name,seat_type,gender,opening_rank,closing_rank
2022,~~ IIT Bhubaneswar~~<br>,"Civil Engineering (4 Years, B. Tech)",~~OPEN~~<br>,Gender-Neutral ,9193,13624
2022,~~ IIT Bhubaneswar~~<br>,"Civil Engineering (4 Years, B. Tech)",~~EWS~~<br>,Female-only (incl Supernumerary) ,3334,3334
2022,~~ IIT Bhubaneswar~~<br>,"Civil Engineering (4 Years, B. Tech)",~~OBC-NCL~~<br>,Gender-Neutral ,4094,4615
2022,~~ IIT Bhubaneswar~~<br>,"Civil Engineering (4 Years, B. Tech)",~~OBC-NCL~~<br>,Female-only (incl Supernumerary) ,6261,8015
2022,~~ IIT Bhubaneswar~~<br>,"Civil Engineering (4 Years, B. Tech)",~~SC~~<br>,Female-only (incl Supernumerary) ,2464,2464
2022,~~ IIT Bhubaneswar~~<br>,"Civil Engineering (4 Years, B. Tech)",~~ST~~<br>,Gender-Neutral ,677,737
2022,~~IIT Bhubaneswar~~<br>,"Civil Engineering (4 Years, B. Tech)",~~OPEN~~<br>,Female-only (incl Supernumerary) ,16138,21674
2022,~~IIT Bhubaneswar~~<br>,"Civil Engineering (4 Years, B. Tech)",~~EWS~~<br>,Gender-Neutral ,1907,2171
2022,~~IIT Bhubaneswar~~<br>,"Civil Engineering (4 Years, B. Tech)",~~SC~~<br>,Gender-Neutral ,1729,2362
2022,~~IIT Bhubaneswar~~,"Civil Engineering (4 Years, B. Tech)",~~ST~~,Female-only (incl Supernumerary),990,990
2022,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,13928,14224
2022,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OPEN,Female-only (incl Supernumerary),18771,18771
2022,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,1982,1982
2022,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",EWS,Female-only (incl Supernumerary),3448,3448
2022,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,4717,4961
2022,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,2375,2375
2022,IIT Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",SC,Female-only (incl Supernumerary),3561,3561
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,14571,14813
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OPEN,Female-only (incl Supernumerary),22114,22114
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,2050,2050
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,4987,5008
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OBC-NCL,Female-only (incl Supernumerary),9188,9188
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,2621,2628
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",ST,Female-only (incl Supernumerary),1473,1473
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,14982,15033
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OPEN,Female-only (incl Supernumerary),21738,21738
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,2186,2186
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,4734,5176
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,1720,1720
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",SC,Female-only (incl Supernumerary),3584,3673
2022,IIT Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, B. Tech - M.Tech Dual Deg.)",ST,Gender-Neutral,910,910
2022,IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B. Tech)",OPEN,Gender-Neutral,1702,2769
2022,IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B. Tech)",OPEN,Female-only (incl Supernumerary),3119,5436
2022,IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B. Tech)",OPEN (PwD),Female-only (incl Supernumerary),74,74
2022,IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B. Tech)",EWS,Gender-Neutral,346,355
2022,IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B. Tech)",EWS,Female-only (incl Supernumerary),787,787
2022,IIT Bhubaneswar,"Computer Science and Engineering (4 Years, B. Tech)",EWS (PwD),Gender-Neutral,21,21
